,value,subject
0,-0.011864309143052885,sub-ICC103
1,0.03165160771355316,sub-ICC105
2,-0.01191429364574862,sub-ICC107
3,0.002517539240706454,sub-ICC111
4,0.0909431378837886,sub-ICC113
5,0.028964322386567612,sub-ICC123
6,-0.020051869822902295,sub-ICC125
7,0.001325281031491668,sub-ICC127
8,-0.007120586683812463,sub-ICC133
9,-0.058261744836613935,sub-ICC135
10,0.014247979194485907,sub-ICC139
11,-0.08058060670245157,sub-ICC141
12,-0.0001527134034857297,sub-ICC145
13,0.032898049862311166,sub-ICC147
14,0.007664249956594649,sub-ICC149
15,0.036998862387876315,sub-ICC153
16,-0.016461182766998254,sub-ICC155
17,0.0036142789571618344,sub-ICC161
18,0.04425653052106586,sub-ICC163
19,-0.032839199011180834,sub-ICC167
20,0.006920658092195928,sub-ICC169
21,0.013819353616400298,sub-ICC177
22,-0.03613658303813134,sub-ICC179
23,-0.031182556270732943,sub-ICC183
24,0.20793688103918154,sub-ICC185
25,0.0028948982414947477,sub-ICC187
26,-0.007503000254367592,sub-ICC189
27,0.015174807590749656,sub-ICC191
28,0.004024739489171855,sub-ICC193
29,0.011083015608592109,sub-ICC199
30,0.028433658122910488,sub-ICC201
31,0.038834446400423585,sub-ICC205
32,-0.05013577203334067,sub-ICC207
33,-0.00475991429607768,sub-ICC211
34,0.020709348468585576,sub-ICC213
35,-0.026064646087975846,sub-ICC23
36,0.00428738694757249,sub-ICC37
37,0.018911133689452048,sub-ICC43
38,0.05345248524411822,sub-ICC47
39,-0.011601690062573791,sub-ICC53
40,0.01931657832045862,sub-ICC57
41,0.023259570750181965,sub-ICC59
42,0.06939703198378215,sub-ICC63
43,0.0385761385196905,sub-ICC75
44,-0.0133078441896496,sub-ICC7
45,0.015620261782231415,sub-ICC81
46,0.03168464615310361,sub-ICC83
47,-0.02600625813542077,sub-ICC87
48,-0.009150015846719373,sub-ICC89
49,-0.020004876836677066,sub-ICC91
50,0.019309879102240142,sub-ICC97
51,0.07876872200661851,sub-ICN14
52,-0.015161971217689162,sub-ICN18
53,-0.06750256332269239,sub-ICN8
54,0.16384844577049765,sub-IRC109
55,-0.010524829507948363,sub-IRC119
56,0.03236467929580798,sub-IRC17
57,0.02657705353439105,sub-IRC19
58,0.03416266040427174,sub-IRC21
59,-0.02473172946248048,sub-IRC25
60,-0.02196713849288203,sub-IRC27
61,0.013367864017822778,sub-IRC29
62,-0.03129501186964374,sub-IRC41
63,0.003396923398598789,sub-IRC45
64,-0.01846683382493851,sub-IRC49
65,0.08856586973718875,sub-IRC61
66,0.08197868717345669,sub-IRC69
67,0.06484174192174406,sub-IRC99
68,0.0007693832052952168,sub-IRN12
69,0.015842690825907987,sub-IRN34
70,-0.024368217543683908,sub-IRN36
71,0.012476071627020496,sub-IRN44
72,0.031137278471235097,sub-IRN60
73,0.01201272292238438,sub-IRN62
74,-0.04079419537360294,sub-IRN66
75,0.024107750803323474,sub-IRN68
76,-0.01272520277468936,sub-IRN72
77,0.11232356588739198,sub-IRN76
78,0.015320000593165087,sub-IRN78
